,Round of 32,Sweet Sixteen,Elite Eight,Final Four,Championship Game,Champions
Alabama,0.4,0.0,0.0,0.0,0.0,0.0
Arizona,0.8,0.0,0.0,0.0,0.0,0.0
Arkansas,0.2,0.0,0.0,0.0,0.0,0.0
Auburn,0.8,0.4,0.2,0.0,0.0,0.0
Bucknell,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo,0.0,0.0,0.0,0.0,0.0,0.0
Butler,0.6,0.2,0.0,0.0,0.0,0.0
Cal St. Fullerton,0.0,0.0,0.0,0.0,0.0,0.0
Cincinnati,0.8,0.8,0.4,0.4,0.0,0.0
Clemson,0.8,0.4,0.2,0.0,0.0,0.0
College of Charleston,0.0,0.0,0.0,0.0,0.0,0.0
Creighton,0.4,0.0,0.0,0.0,0.0,0.0
Davidson,0.4,0.4,0.0,0.0,0.0,0.0
Duke,0.8,0.8,0.2,0.2,0.0,0.0
Florida,0.4,0.0,0.0,0.0,0.0,0.0
Florida St.,0.6,0.4,0.4,0.0,0.0,0.0
Georgia St.,0.0,0.0,0.0,0.0,0.0,0.0
Gonzaga,0.8,0.2,0.0,0.0,0.0,0.0
Houston,0.8,0.0,0.0,0.0,0.0,0.0
Iona,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,0.8,0.6,0.4,0.2,0.0,0.0
Kansas St.,0.4,0.0,0.0,0.0,0.0,0.0
Kentucky,0.4,0.4,0.2,0.0,0.0,0.0
Last In,0.6,0.0,0.0,0.0,0.0,0.0
Lipscomb,0.0,0.0,0.0,0.0,0.0,0.0
Loyola Chicago,0.6,0.0,0.0,0.0,0.0,0.0
Marshall,0.0,0.0,0.0,0.0,0.0,0.0
Miami FL,0.2,0.2,0.0,0.0,0.0,0.0
Michigan,0.8,0.8,0.6,0.6,0.4,0.2
Michigan St.,0.8,0.6,0.6,0.4,0.2,0.2
Missouri,0.2,0.0,0.0,0.0,0.0,0.0
Montana,0.0,0.0,0.0,0.0,0.0,0.0
Murray St.,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,0.6,0.0,0.0,0.0,0.0,0.0
New Mexico St.,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,0.8,0.8,0.2,0.2,0.2,0.2
North Carolina St.,0.4,0.2,0.0,0.0,0.0,0.0
Ohio St.,0.8,0.6,0.4,0.0,0.0,0.0
Oklahoma,0.4,0.0,0.0,0.0,0.0,0.0
Penn,0.0,0.0,0.0,0.0,0.0,0.0
Providence,0.2,0.0,0.0,0.0,0.0,0.0
Purdue,0.8,0.6,0.4,0.0,0.0,0.0
Rhode Island,0.4,0.0,0.0,0.0,0.0,0.0
San Diego St.,0.0,0.0,0.0,0.0,0.0,0.0
Seton Hall,0.4,0.0,0.0,0.0,0.0,0.0
South Dakota St.,0.0,0.0,0.0,0.0,0.0,0.0
Stephen F. Austin,0.0,0.0,0.0,0.0,0.0,0.0
TCU,0.6,0.2,0.0,0.0,0.0,0.0
Tennessee,0.8,0.6,0.4,0.0,0.0,0.0
Texas,0.2,0.0,0.0,0.0,0.0,0.0
Texas A&M;,0.6,0.0,0.0,0.0,0.0,0.0
Texas Tech,0.8,0.8,0.4,0.4,0.2,0.0
UMBC,0.0,0.0,0.0,0.0,0.0,0.0
UNC Greensboro,0.0,0.0,0.0,0.0,0.0,0.0
Villanova,0.8,0.8,0.4,0.4,0.4,0.2
Virginia,0.8,0.8,0.6,0.4,0.2,0.0
Virginia Tech,0.4,0.0,0.0,0.0,0.0,0.0
West Virginia,0.8,0.6,0.4,0.0,0.0,0.0
Wichita St.,0.8,0.2,0.0,0.0,0.0,0.0
Wright St.,0.0,0.0,0.0,0.0,0.0,0.0
Xavier,0.8,0.4,0.0,0.0,0.0,0.0
